Korpusglosa,Lexikonglosa,ID
.DITABSOLUT[AB],,
ABBORRE[NN],ABBORRE(J+O),01811
ACCEPTERA(Ao)[VB],ACCEPTERA(JJt),09672
ACCEPTERA(L)[VB],ACCEPTERA(^LL),02628
ACCEPTERA(L)[VB],ACCEPTERA(LL),09048
ADOPTERA[VB],ADOPTERA(55),01665
ADMINISTRATION[NN],ADMINISTRATION(J+N),12335
ADVOKAT[NN],,
AFFISCH[NN],AFFISCH(BB),02528
AFFÄR[NN],AFFÄR(BB:),02538
AFFÄR[NN],AFFÄR(BB+slås),07603
AFTON[NN],,
AKTIV[VBS],,
AKTIV.GÖRA[VB],,
AKTIVERA[VB],AKTIVERA(GG:),00013
AKTIVITET[NN],AKTIVITET(GG),02157
ALDRIG[AB],ALDRIG(J+J),00519
ALDRIG-NÅGONSIN[AB],ALDRIG-NÅGONSIN(J+J),00452
ALLA[PN],ALLA(5),07844
ALLMÄN[JJ],ALLMÄN(OO),01007
ALLMÄN[JJ],ALLMÄN(55),05425
ALLSVENSKAN[NN],ALLSVENSKAN(Jt+J)@en,10720
ALLT[PN],ALLT(55),07219
ALLTID[AB],ALLTID(L),02711
ALLTIHOP[PN],ALLTIHOP(55),10141
ALLVAR[JJ],ALLVAR(J),00121
AMBULANS[NN],AMBULANS(7b),03642
AMBULANS[NN],AMBULANS(öarm+N),02709
AMBULANS[NN],AMBULANS(N),03963
AMBULANS[NN],AMBULANS(OO),03389
ANDAS[VB],ANDAS(JJ),00525
ANGÅ-INTE[VB],ANGÅ-INTE(JJ),10181
ANHÖRIG[NN],,
ANLEDNING[NN],ANLEDNING(J+O),01813
ANMÄLA[VB],ANMÄLA(J+ner+Jvt),01141
ANMÄLA[VB],ANMÄLA(J+in+J),05474
ANNAN(ea)[PN],ANNAN(8),04333
ANNAN(ea).FL[PN],,
ANNAN(ml)[PN],ANNAN(V+L),02994
ANNAN(ml).FL[PN],,
ANNARS@b[AB],ANNARS@b,04624
ANNONS[NN],ANNONS(J+7b),03695
ANNONS[NN],ANNONS(J+S),08055
ANNORLUNDA[AB],ANNORLUNDA(LL),03134
ANNORLUNDA[AB],ANNORLUNDA(LL+ner),07860
ANPASSA[VB],ANPASSA(SS),01459
ANSIKTE(L)[NN],ANSIKTE(L),02544
ANSIKTE(S)[JJ],ANSIKTE(J),00007
ANSIKTE-UTTRYCKSLÖS[JJ],,
ANSLUTA[VB],ANSLUTA(7b+Lb+fram),03549
ANSLUTA[VB],ANSLUTA(Lb+Lb),03556
ANSTÄLLA[VB],ANSTÄLLA(J+5b>G),01587
ANSTÄLLA[VB],ANSTÄLLA(J+G),07235
ANSTÄLLD[VBS],ANSTÄLLD(88b),04451
ANSTÄLLD[VBS],ANSTÄLLD(77a),04927
ANSTÄLLD[VBS],ANSTÄLLD(77b),08355
ANSVAR[NN],ANSVAR(V+hö),04147
ANSVAR[NN],ANSVAR(V:),08773
ANSVAR[NN],ANSVAR(8:),04995
ANSVAR[NN],ANSVAR(8+hö),08241
ANSVAR[NN],ANSVAR(V+vä),08747
ANSVAR[NN],ANSVAR(8+vä),10700
ANSÖKA[VB],ANSÖKA(QQ),03919
ANTAL[NN],ANTAL(L),02859
ANTINGEN[KN],ELLER(V+V),04200
ANVÄNDA[VB],ANVÄNDA(B),02375
APA[NN],APA(5b),01539
APA[NN],APA(55b),05890
APOTEK[NN],APOTEK(H),04554
APPLÅDERA[VB],,
APRIL[NN],APRIL(5),00815
APRIL[NN],APRIL(B+haka),02336
APRIL[NN],APRIL(B+näsa),07536
ARBETA(G)[VB],ARBETA(G+G),08062
ARBETA(J)[VB],ARBETA(JJ),08454
ARBETARE(Yt)[NN],ARBETARE(55),00999
ARBETE(G)[NN],ARBETE(G+G),02061
ARBETE(J)[NN],ARBETE(JJ),00562
ARG[AB],ARG(55b+mage),01670
ARG[AB],ARG(5b),08385
ARG[AB],ARG(5),04851
ARG[AB],ARG(55b),07317
ARGUMENTERA[VB],,
ARMHÄVA[VB],,
ATTAN[INTERJ],,
ARTIKEL.PL[NN],,
ARTON[RG],ARTON(G+8),10280
ARTON[RG],ARTON(8),05000
ARTON[RG],ARTON(J+8),08869
ARVODE[NN],ARVODE(A),00858
ARVODE[NN],ARVODE(5t>A),05386
ASTMA[NN],ASTMA(Jvt),01103
ATT[KN],ATT(J),00224
ATT@b[KN],ATT@b,08812
ATTITYD[NN],ATTITYD(J),00039
AUGUSTI[NN],,
AUTOMATISK[AB],AUTOMATISK(55),00968
AV[PP],AV(J+J),00335
AV@b[PP],AV@b,08815
AVANCERAD[JJ],,
AVBRYTA[VB],AVBRYTA(55b),01707
AVDELNING[NN],AVDELNING(J+J),00371
AVGIFT[NN],AVGIFT(J+A),02857
AVGRÄNS[BOJ],(boj),00645
AVGÅ[VB],AVGÅ(J+Vb),00874
AVGÅ[VB],AVGÅ(J+N),05394
AVGÖR[VB],,
AVGÖRA[VB],AVGÖRA(J+J),00250
AVKLARAD[VB],AVKLARAT(JJ),07944
AVLÅNG@kl[NNKL],,
AVLÅNG-LITEN@kl[NNKL],,
AVLÄSA[VB],AVLÄSA(Jt),00760
AVLÄSA-MUN[VB],AVLÄSA(V),04119
AVLÄSA-MUN[VB],AVLÄSA-MUN(V:),06748
AVRÄTTA[VB],,
AVSKY[VB],AVSKY(5),00819
AVSLUTA[VB],AVSLUTA(J+J),00362
AVSTÅND[NN],,
AVTA[VB],AVTA(D+D),12339
AVUNDSJUK[JJ],AVUNDSJUK(8o),04044
AVVECKLA[VB],AVVECKLA(LL),02871
AVVIKA[VB],,
AVVISA[VB],AVVISA(J),00285
AXEL[NN],AXEL(Jvt),04642
BABY[NN],BABY(JJ),00573
BADA[VB],BADA(JJ),00529
BADA[VB],BADA(J),05245
BADMINTON[NN],BADMINTON(Q),03828
BADMINTON[NN],BADMINTON(Q:),13873
BADMINTON.SPELA[VB],,
BAGGIS[AB],BAGGIS(HH),03889
BAJSA[VB],BAJSA(55b),01679
BAK[NN],BAK(B),02351
BAKA[VB],BAKA(55),00996
BAKSLAG[NN],,
BAKTERIE[NN],BAKTERIER(55b),01714
BAKOM[PP],BAKOM(J+Jvt),00297
BAKOM[PP],BAKOM(J+Jvt+in),01174
BAKOM[PP],BAKOM(J+Jvt+fram),05189
BANAN[NN],BANAN(77v+uppåt),03309
BANAN[NN],BANAN(Q+Q),03841
BANAN[NN],BANAN(77v+nedåt),07930
BANDAGE[NN],BANDAGE(J+J),10461
BANDY[NN],BANDY(G),02007
BANK[NN],BANK(Jv+J),00391
BANKA[VB],,
BANSTRÄCKA[VBAV],,
BANSTRÄCKA.DIVERGERA[VBAV],,
BANSTRÄCKA.MÅL[VBAV],,
BANSTRÄCKA(J)[VBAV],,
BARA(B)[AB],BARA(B),02381
BARA(J)[AB],BARA(JJ),00698
BARN[NN],BARN(J:),00257
BARN[NN],BARN(J),06020
BARNBARN[NN],,
BARNMORSKA[NN],BARNMORSKA(S),05752
BARNVAGN[NN],BARNVAGN(GG),04649
BASKETBOLL[NN],BASKET(5b),01550
BASKETBOLL.SPELA[VB],,
BASTU[NN],BASTU(5b),01488
BASTU[NN],BASTU(Q),03804
BASTU[NN],BASTU(Q+hö),08103
BE-OM[VB],,
BE-OM1[VB],,
BEDÖMA[VB],BEDÖMA(NN),10552
BEDÖVA[VB],BEDÖVA(5b),04653
BEDÖVA[VB],BEDÖVA(8),10554
BEFALLA[VB],BEFALLA(L),02716
BEFATTNING[NN],BEFATTNING(55),00949
BEGE-SIG-BORT[VB],BORTREST(J),00276
BEGE-SIG-HEM[VB],BE-GE-SIG-HEM(O),10533
BEGE-SIG-IVÄG[VB],GE-SIG-IVÄG(7v),03281
BEGRAVA[VB],BEGRAVA(JJvt),06705
BEGRÄNSA[VB],,
BEGÅVAD[VBS],BEGÅVAD(Lb^J+Lb),02626
BEGÅVAD[VBS],BEGÅVAD(7o>7b),03312
BEGÅVAD[VBS],BEGÅVAD(7a),03313
BEGÄRA[VB],BEGÄRA(J),00238
BEHANDLA[VB],BEHANDLA(JJ),00670
BEHOV[NN],BEHOV(B),00015
BEHÅ[NN],BEHÅ(77b+div),03718
BEHÅ[NN],BEHÅ(77b),08063
BEHÅLLA[VB],BEHÅLLA(G),01972
BEHÅLLA[VB],BEHÅLLA(55b),12300
BEHÄRSKA[VB],BEHÄRSKA(J),00157
BEHÖVA[VB],BEHÖVA(B),04769
BEHÖVA(B)*INTE[VB],BEHÖVA(B)*INTE(upp),02387
BEHÖVA(B)*INTE[VB],BEHÖVA(B)*INTE(nerv),07550
BEHÖVA(J)*INTE[VB],BEHÖVA(J)*INTE,00118
BEKRÄFTA[VB],,
BEKVÄM[VBS],BEKVÄM(88),04339
BEKVÄM-AV-SIG[VB],LATA-SIG(88),04342
BEORDRA-GÅ-DIT[VB],,
BEREDD[VBS?],BEREDD(J+J),00315
BEREDD[VBS?],BEREDD(BB),02467
BERG[NN],BERG(G+G),02089
BEROENDE[AB],BEROENDE(B),10659
BERO*PÅ[VB],BERO(B)*PÅ(J+J),10658
BERO(J)*PÅ[VB],BERO(J+J)*PÅ,13953
BERÄTTA[VB],BERÄTTA(J+J),00333
BERÖMMA[VB],,
BESEGRA[VB],BESEGRA(G+G[air]),01968
BESEGRA[VB],BESEGRA(arm+G),07420
BESEGRA[VB],BESEGRA(G+G),14794
BESKRIVA[VB],BESKRIVA(J+O),01819
BESLUT[NN],BESLUTA(J+Q),03845
BESTÄLLA[VB],BESTÄLLA(L),02739
BESTÄLLA[VB],BESTÄLLA(L^J+L),07714
BESTÄMD[JJ],BESTÄMD(J+J),00389
BESTÄMD[JJ],BESTÄMD(J),12332
BESTÄMMA[VB],BESTÄMMA(J+J),00365
BESTÄMMA-SIG[VB],BESLUTA-SIG-FÖR(J+J),02978
BESVÄRLIG[JJ],BESVÄRLIG(B),02295
BESÖKA[VB],,
BETA-AV[VB],,
BETALA[VB],BETALA(J+B),02433
BETYDA[VB],BETYDA(^),04096
BETYDA[VB],BETYDA(VV),09956
BETYG[NN],BETYG(J+B+vrids),04663
BETYG[NN],BETYG(J+Q),07224
BETYG[NN],BETYG(J+B),08420
BETYG[NN],BETYG(J+B:),08709
BEUNDRA[VB],BEUNDRA(LL),02638
BEUNDRA[VB],BEUNDRA(L^LL),07643
BEVAKA[VB],BEVAKA(G+Vb),04367
BEVAKA[VB],BEVAKA(Vb),08327
BEVIS[NN],,
BI[NN],BI(7a),03334
BIBLIOTEK[NN],,
BIDRAG[NN],BIDRAG(J+A:),01309
BIDRAG[NN],BIDRAG(J+A),05593
BIL[NN],BIL(GG),02158
BILD[NN],BILD(J),00041
BILD.PL[NN],,
BILDA[VB],BILDA(J+O),01828
BILJETT[NN],BILJETT(J+B),02404
BILJETT[NN],BILJETT(J+Vb),07622
BILLIG[JJ],BILLIG(7a),03377
BILMÖTAS[VB],,
BIO[NN],BIO(VV),04250
BIOLOGI[NN],BIOLOGI(55b),05732
BIT[NN],BIT(7b),04673
BITA[VB],BITA(5>O),01487
BITA[VB],BITA(5>G),05664
BITA-IHOP[VB],BITA-IHOP(G),12262
BITRÄDANDE[NN],BITRÄDANDE(L+L),03021
BJUDA[VB],BJUDA(A),10735
BJUDA-IN[VB],BJUDA-IN(J),14964
BJÖRN[NN],BJÖRN(55b),01651
BJÖRN[NN],BJÖRN(J),05034
BLAND[PP],BLAND(44+kon),07880
BLANDA[VB],BLANDA(JJ),00733
BLANK[JJ],BLANK(55),01044
BLANK[JJ],BLANK(5),04806
BLI(J)[VB],BLI(Jvt),00063
BLI(L)[VB],BLI(LL),03181
BLI-AV-MED[VB],,
BLIND[JJ],BLIND(Vb),04378
BLINKA[VB],BLINKA(7v),03256
BLINKA.FORDON[VB],BLINKA(BIL)(O>5),01799
BLINKERS[NN],BLINKERS(O),01800
BLIXTLÅS[NN],BLIXTLÅS(J+Q),08115
BLOD[NN],BLOD(5),05758
BLOMMA[NN],BLOMMA(O),01767
BLYG[JJ],BLYG(Jvt),01079
BLÅ[JJ],BLÅ(L+näsa),07660
BLÅSA[VB],BLÅSA(GG),02269
BLÄDDRA[VB],BLÄDDRA(J+J),00381
BLÖT[JJ/VBS],BLÖT(55b),01676
BO[VB],BO(J),00050
BOCK[NN],BOCK(77b),02359
BOK[NN],BOK(JJ),00610
BOK.PL[NN],,
BOKA[VB],BOKA(55b),01710
BOKSTAVERA[VB],BOKSTAVERA(5b),08156
BOKSTAVERA.KNAGGLIG[VB],,
BOLL[NN],BOLL(JJvt),01205
BOLL(S)[NN],,
BOLLA[VB],BOLL(JJvt)^LYFTA,14293
BOMMA[VB],,
BONDE[NN],BONDE(5b),01489
BORD[NN],BORD(JJ),00664
BORDTENNIS[NN],BORDTENNIS(J+7),05197
BORTA[AB],BORTA(JJt),00767
BORTA[AB],BORTA(J),07360
BORTA[AB],BORTA(J+slås),14250
BORTA-ANNAN-PLATS[AB],BORTREST(J),00276
BORTSKÄMD[JJ],BORTSKÄMD(Jt),00750
BOSTAD[NN],BOSTAD(^J),08775
BOSTAD[NN],BOSTAD(J),08748
BOWLING[NN],BOWLING(O),13936
BOXA[VB],,
BRA[JJ],BRA(H),05259
BRA[JJ],BRA(J),00086
BRA(B)[JJ],BRA(B),12077
BRA-MYCKET(A)[AB],,
BRA-MYCKET(J)[JJ],BRA-TOPPEN,00269
BRASA[NN],BRASA(55:),01069
BRASA[NN],BRASA(55),05449
BRED[JJ],BRED(JJ),01982
BRED-UTBUD[NN],BREDD(JJ+slås),11069
BREDAXLAD[VBS],BREDAXLAD(BB+upp),04728
BREDAXLAD[VBS],BREDAXLAD(JJ+fram),11077
BREDAXLAD[VBS],BREDAXLAD(BB+fram),08897
BRED@kl[NNKL],,
BREV[NN],BREV(J+J),00449
BRIDGE[NN],BRIDGE(Q+Q),03838
BRIDGE[NN],BRIDGE(Q+Q:),10753
BRINNA[VB],BRINNA(55:),01070
BRINNA[VB],BRINNA(55),05451
BRIST[NN],BRIST(55b),01690
BRO[NN],BRO(7b),03649
BRO[NN],BRO(77b),03756
BRO[NN],BRO(7b+7b),08047
BRO[NN],BRO(88),08081
BROMSA[VB],BROMSA(G+in),01999
BROMSA[VB],BROMSA(G+G),02115
BROR[NN],BROR(Lb^Lb+Lb),03462
BROR[NN],BROR(LLb),03563
BROR[NN],BROR(LLb+hö-vä),08032
BROR[NN],BROR(^Jv),09370
BRUKA[VB],BRUKA(L),02712
BRUKA*INTE[VB],,
BRUN[JJ],,
BRY-INTE[VB],,
BRY-OM[VB],BRY-SIG-OM(JJvt),04354
BRYGGA[NN],BRYGGA(7b),03646
BRYTA[VB],BRYTA(GG),02227
BRYTA-AV[VB],,
BRÅKA[VB],BRÅKA(55b),07365
BRÅTTOM[AB],BRÅTTOM(GG),11145
BRÄDA[NN],BRÄDA(SS),13376
BRÄND[VBS],,
BRÖD[NN],BRÖD(J+J),00434
BRÖLLOP[NN],BRÖLLOP(55),06741
BRÖSTSIM[NN],BRÖSTSIM(JJ),13957
BUDSKAP[NN],BUDSKAP(J+Jvt),01142
BUDSKAP[NN],BUDSKAP(Jvt^J+Jvt),06747
BULLRA[VB],BULLRA(YY),02459
BULLRA[VB],BULLRA(BB),07586
BURK[NN],BURK(J+S),01419
BURK[NN],BURK(J+7b),03708
BURK[NN],BURK(J+S:),05646
BUSA[VB],,
BUSE[NN?],BUSE(5b),01518
BUSKE[NN],BUSKE(88b),01009
BUSKE[NN],BUSKE(55),12566
