,Banku,Tihlo,American,Manti,Joshpara,Jiaozi,Guotie,Wonton,Gujia,Samosa,Kozhukkatta,Modak,Kachori,Momo,Pitha,Nevryo,Siomay,Dango,Baozi,Buuz,Khuushuur,Yomari,Empanada,Pastei,Coxinha,Pantruca,Bunuelo,Tamale,Pastel,Paime,British,Cotswold,Clootie,Knodel,Maultasche,Halusky,Shlishkes,Knedlik,Khinkali,Pierogi,Tortellini,Arancini,Bitterbal,Kreplach,Pelmeni,Kluski,Kalduny,Cepelinai,Burek,Ravioli,Gnocchi,Calzone,Pastizz,Kroppkaka,Palt,Asida,Qatayef,Kibbeh,Mataz,MatzahBall,Knish
Banku,0,3,1,6,4,5,6,6,7,6,4,7,6,8,8,7,6,7,6,5,5,7,7,6,6,1,6,6,6,3,1,6,6,3,4,1,3,2,5,6,4,7,6,5,5,1,6,2,7,4,1,5,6,2,2,2,8,6,5,3,7
Tihlo,3,0,2,5,5,6,5,5,6,5,5,8,5,7,7,6,5,8,5,4,4,6,6,5,5,2,5,7,5,2,2,5,7,6,5,4,6,5,6,7,5,6,5,6,6,2,7,5,6,5,4,4,5,5,5,3,7,7,6,4,6
American,1,2,0,5,3,4,5,5,6,5,3,6,5,7,7,6,5,6,5,4,4,6,6,5,5,0,5,7,5,2,0,5,5,4,3,2,4,3,4,5,3,6,5,4,4,0,5,3,6,3,2,4,5,3,3,1,7,5,4,2,6
Manti,6,5,5,0,2,1,2,2,5,2,4,3,4,2,6,5,0,5,2,1,3,3,5,4,4,5,6,2,2,3,5,4,6,7,2,7,9,6,3,4,2,5,6,3,3,5,4,4,3,2,7,3,2,4,4,6,4,6,1,3,5
Joshpara,4,5,3,2,0,1,2,2,5,2,2,3,4,4,8,5,2,3,4,3,3,5,5,4,4,3,6,4,4,5,3,4,4,5,0,5,7,4,1,2,0,5,6,1,1,3,2,2,3,0,5,3,2,2,2,4,4,4,1,1,5
Jiaozi,5,6,4,1,1,0,3,3,6,3,3,2,5,3,7,6,1,4,3,2,4,4,6,5,5,4,7,3,3,4,4,5,5,6,1,6,8,5,2,3,1,6,7,2,2,4,3,3,4,1,6,4,3,3,3,5,5,5,0,2,6
Guotie,6,5,5,2,2,3,0,0,5,2,4,5,4,2,6,5,2,3,4,3,1,5,3,4,4,5,6,4,4,5,5,4,6,7,2,7,9,6,1,2,2,5,6,1,1,5,2,4,3,2,7,3,2,4,4,6,2,4,3,3,3
Wonton,6,5,5,2,2,3,0,0,5,2,4,5,4,2,6,5,2,3,4,3,1,5,3,4,4,5,6,4,4,5,5,4,6,7,2,7,9,6,1,2,2,5,6,1,1,5,2,4,3,2,7,3,2,4,4,6,2,4,3,3,3
Gujia,7,6,6,5,5,6,5,5,0,3,3,4,1,5,5,0,5,4,3,4,4,2,4,1,3,6,3,5,3,6,6,3,3,6,5,8,8,7,6,5,5,4,5,6,6,6,7,5,4,5,8,4,5,5,5,5,3,7,6,4,4
Samosa,6,5,5,2,2,3,2,2,3,0,4,5,2,4,6,3,2,5,4,3,3,5,3,2,2,5,4,4,4,5,5,2,6,7,2,7,9,6,3,4,2,3,4,3,3,5,4,4,3,2,7,3,2,4,4,6,4,6,3,3,3
Kozhukkatta,4,5,3,4,2,3,4,4,3,4,0,3,2,4,6,3,4,3,2,3,3,3,5,2,4,3,4,4,2,5,3,4,2,3,2,5,5,4,3,2,2,5,6,3,3,3,4,2,3,2,5,3,4,2,2,2,4,4,3,1,5
Modak,7,8,6,3,3,2,5,5,4,5,3,0,5,3,7,4,3,2,3,4,6,2,8,5,7,6,7,3,3,6,6,7,3,6,3,8,8,7,4,3,3,8,9,4,4,6,5,5,4,3,8,6,5,5,5,5,3,7,2,4,8
Kachori,6,5,5,4,4,5,4,4,1,2,2,5,0,4,4,1,4,5,2,3,3,3,3,0,2,5,2,4,2,5,5,2,4,5,4,7,7,6,5,4,4,3,4,5,5,5,6,4,3,4,7,3,4,4,4,4,4,6,5,3,3
Momo,8,7,7,2,4,3,2,2,5,4,4,3,4,0,4,5,2,3,2,3,3,3,5,4,6,7,6,2,2,5,7,6,6,7,4,9,9,8,3,2,4,7,8,3,3,7,4,6,3,4,9,5,4,6,6,6,2,6,3,5,5
Pitha,8,7,7,6,8,7,6,6,5,6,6,7,4,4,0,5,6,7,4,5,5,5,3,4,6,7,4,6,4,5,7,6,8,7,8,9,9,8,7,6,8,7,8,7,7,7,6,8,5,8,9,5,6,8,8,6,6,6,7,7,3
Nevryo,7,6,6,5,5,6,5,5,0,3,3,4,1,5,5,0,5,4,3,4,4,2,4,1,3,6,3,5,3,6,6,3,3,6,5,8,8,7,6,5,5,4,5,6,6,6,7,5,4,5,8,4,5,5,5,5,3,7,6,4,4
Siomay,6,5,5,0,2,1,2,2,5,2,4,3,4,2,6,5,0,5,2,1,3,3,5,4,4,5,6,2,2,3,5,4,6,7,2,7,9,6,3,4,2,5,6,3,3,5,4,4,3,2,7,3,2,4,4,6,4,6,1,3,5
Dango,7,8,6,5,3,4,3,3,4,5,3,2,5,3,7,4,5,0,5,6,4,4,6,5,7,6,7,5,5,8,6,7,3,6,3,8,8,7,2,1,3,8,9,2,2,6,3,5,4,3,8,6,5,5,5,5,1,5,4,4,6
Baozi,6,5,5,2,4,3,4,4,3,4,2,3,2,2,4,3,2,5,0,1,3,1,5,2,4,5,4,2,0,3,5,4,4,5,4,7,7,6,5,4,4,5,6,5,5,5,6,4,3,4,7,3,4,4,4,4,4,6,3,3,5
Buuz,5,4,4,1,3,2,3,3,4,3,3,4,3,3,5,4,1,6,1,0,2,2,4,3,3,4,5,3,1,2,4,3,5,6,3,6,8,5,4,5,3,4,5,4,4,4,5,3,4,3,6,2,3,3,3,5,5,5,2,2,4
Khuushuur,5,4,4,3,3,4,1,1,4,3,3,6,3,3,5,4,3,4,3,2,0,4,2,3,3,4,5,5,3,4,4,3,5,6,3,6,8,5,2,3,3,4,5,2,2,4,3,3,4,3,6,2,3,3,3,5,3,3,4,2,2
Yomari,7,6,6,3,5,4,5,5,2,5,3,2,3,3,5,2,3,4,1,2,4,0,6,3,5,6,5,3,1,4,6,5,3,6,5,8,8,7,6,5,5,6,7,6,6,6,7,5,4,5,8,4,5,5,5,5,3,7,4,4,6
Empanada,7,6,6,5,5,6,3,3,4,3,5,8,3,5,3,4,5,6,5,4,2,6,0,3,3,6,5,7,5,6,6,3,7,8,5,8,10,7,4,5,5,4,5,4,4,6,3,5,4,5,8,2,3,5,5,7,5,3,6,4,0
Pastei,6,5,5,4,4,5,4,4,1,2,2,5,0,4,4,1,4,5,2,3,3,3,3,0,2,5,2,4,2,5,5,2,4,5,4,7,7,6,5,4,4,3,4,5,5,5,6,4,3,4,7,3,4,4,4,4,4,6,5,3,3
